tag_id,species,bill length (mm),bill depth (mm),flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg
,Gentoo,48.99,14.11,220.9,5890.0,Adult,Male,Torgersen North,Torgersen,2023-11-17,,PAPRI2023,Yes,2023-11-09
,Gentoo,48.99,14.11,220.9,5890.0,Adult,Male,Torgersen North,Torgersen,2023-11-17,,PAPRI2023,Yes,2023-11-09
ADE-0001,Adelie,39.55,19.92,186.2,2500.0,Chick,Male,Biscoe West,Biscoe,2024-13-03,Underweight,PAPRI2022,Yes,2022-07-20
,Gentoo,48.23,13.0,,4536.0,Adult,Female,Biscoe West,,2024-04-14,Healthy,,Yes,2024-04-12
GEN-0001,Gentoo,46.22,13.91,212.8,2500.0,Juvenile,Female,Dream South,Dream,,Underweight,PAPRI2020,Yes,2020-04-14
,Chinstrap,49.02,16.22,192.2,3735.0,Adult,,Biscoe West,Biscoe,2022-10-03,Healthy,PAPRI2022,Yes,2022-10-02
,Gentoo,45.7,15.94,218.7,,Adult,,Torgersen North,Torgersen,2021-10-10,Healthy,PAPRI2021,Yes,2021-10-10
GEN-0002,Gentto,,,188.13,3790.0,Juvenile,Male,dream island,bisco,2024-08-09,Healthy,PAPRI2024,Yes,2024-07-30
CHN-0001,Chinstrap,57.97,20.41,197.5,3982.0,Adult,,,Torgersen,2023-09-07,Healthy,PAPRI2023,,
GEN-0003,Gentoo,,14.44,208.1,4476.0,Adult,N/A,Torgersen North,Torgersen,2021-04-05,Healthy,PAPRI2021,No,
,Adelie,33.22,17.08,182.7,3740.0,Adult,,Biscoe West,short cut,2021-01-12,Healthy,PAPRI2021,Yes,2021-01-06
,Chinstrap,46.57,19.48,203.2,3998.0,Juvenile,,Torgersen North,,2023-10-10,Healthy,PAPRI2023,Yes,2023-10-04
,Gentoo,46.88,,208.0,,Juvenile,M,Dream South,Dream,2023-12-08,,PAPRI2023,Yes,2023-12-02
,Chinstrap,45.15,,201.7,4134.0,Adult,,Torgersen North,Torgersen,2020-04-04,Healthy,PAPRI2020,No,
,Gentoo,44.39,14.19,222.8,5318.0,Adult,,Torgersen North,Torgersen,2021-11-27,Healthy,PAPRI2021,Yes,2021-11-19
,Chinstrap,48.68,21.0,177.7,4161.0,Adult,Male,Shortcut Point,Shortcut,2023-07-28,Overweight,PAPRI2023,,2023-07-16
GEN-0004,Gentoo,43.24,16.05,222.4,4206.0,Juvenile,Male,Cormorant,Dream,2023-10-18,Healthy,,,2023-10-10
ADE-0002,Adelie,42.79,17.62,184.7,2840.0,Juvenile,,Dream South,,2024-06-19,Underweight,PAPRI2024,No,
CHN-0002,Chinstrap,,20.35,197.8,3801.0,Adult,,Cormorant East,Cormorant,2022-09-21,Overweight,N/A,,2022-09-14
ADE-0003,Adelie,39.06,,185.4,3602.0,Adult,,Torgersen North,unknown,2024-99-01,Healthy,PAPRI2024,Yes,2024-03-26
GEN-0005,Gentoo,51.32,14.45,201.1,3237.0,Juvenile,M,Shortcut Point,Shortcut,2024-01-05,Healthy,PAPRI2024,Yes,2023-12-26
CHN-0003,Chinstrap,47.67,17.22,194.9,3063.0,Juvenile,,Shortcut Point,Shortcut,2023-02-24,Underweight,PAPRI2023,Yes,2023-02-16
,Gentoo,44.67,16.92,216.9,3442.381243095952,Adult,Female,Biscoe West,Biscoe,not-a-date,Underweight,PAPRI2022,Yes,2022-03-13
ADE-0004,Adelie,38.96,21.0,170.0,2500.0,Chick,,/Shortcut,Torgersen,2023-01-18,Underweight,PAPRI2023,Yes,2023-01-08
ADE-0005,Adelie,33.41,18.39,195.0,3355.0,Adult,,Torgersen North,Torgersen,2020-02-23,Healthy,PAPRI2020,Yes,2020-02-16
,Adelie,40.94,17.04,199.1,3279.0,Adult,,Dream South,Dream,2022-12-24,Healthy,PAPRI2022,Yes,2022-12-12
,Chinstrap,40.56,18.62,192.5,2500.0,Chick,Female,Torgersen North,Torgersen,2022-01-19,Underweight,PAPRI2022,Yes,2022-01-09
GEN-0007,,47.8,14.2,207.7,2866.0,Chick,Female,Shortcut Point,Shortcut,2024-03-27,Underweight,,Yes,2024-03-24
GEN-0008,Gentoo,49.11,13.7,220.7,5182.0,ADLT,Male,Dream South,Dream,2024-08-25,,PAPRI2024,Yes,2024-08-12
,Gentoo,,14.41,221.9,7000.0,Adult,,Torgersen North,Torgersen,2019-10-31,Healthy,PAPRI2019,,
ADE-0006,Adelie,42.48,21.0,187.9,3456.0,Adult,Female,Torgersen North,Torgersen,2024-10-22,Overweight,PAPRI2024,Yes,2024-10-16
CHN-0004,Chinstrap,49.66,19.75,187.3,3857.0416833324625,Adult,N/A,Shortcut Point,Shortcut,,Underweight,PAPRI2020,Yes,2020-08-13
,,45.04,16.26,218.4,3364.0,Chick,Male,Biscoe West,Biscoe,2023-01-09,Underweight,PAPRI2023,Yes,2023-01-01
,Adelie,39.59,17.33,202.1,3842.0,Adult,,Torgersen North,Torgersen,2020-02-18,Healthy,,Yes,2020-02-15
,Chinstrap,51.22,16.97,190.7,3431.92,juvenille,Male,Torgersen North,Torgersen,2023-03-22,N/A,PAPRI2023,Yes,2023-03-13
GEN-0009,Gentoo,50.39,15.3,,,Juvenile,,Dream South,Dream,,Healthy,PAPRI2021,Yes,2021-06-25
GEN-0010,Gentoo,43.39,13.87,222.3,4904.0,Adult,,,Torgersen,2024-13-21,Unwell,PAPRI2020,Yes,2020-02-23
GEN-0011,Gentoo,47.54,17.72,215.4,,Adult,,Torgersen North,,2024-09-04,Healthy,,,2024-08-28
,Gentto,44.61,15.97,217.3,4945.0,Adult,,Biscoe West,,2023-06-01,Healthy,PAPRI2023,Yes,2023-05-24
CHN-0005,Chinstrap,48.06,16.6,199.3,2941.0,Juvenile,,Torgersen,Shortcut,2021-03-25,Underweight,PAPRI2021,No,
,Adelie,37.58,19.57,196.8,3597.0,Adult,,Torgersen North,Torgersen,2020-11-20,Healthy,,Yes,2020-11-12
CHN-0006,Chinstrap,,16.51,197.2,3632.0,Adult,Female,biscoe 2,Torgersen,2024-05-25,Healthy,PAPRI2024,,2024-05-13
ADE-0007,Adelie,37.33,17.19,196.9,2972.0,Juvenile,N/A,Biscoe West,Biscoe,2022-11-03,N/A,PAPRI2022,Yes,2022-11-02
ADE-0008,Adelie,34.8,19.98,181.0,3590.0,Adult,Male,Shortcut Point,Shortcut,2024-06-05,Overweight,PAPRI2024,Yes,2024-05-30
ADE-0009,Adelie,,18.79,190.2,3962.0,Adult,,Torgersen North,Torgersen,2024-07-28,Underweight,PAPRI2024,Yes,2024-07-25
,Gentoo,54.95,16.16,222.7,5261.0,Adult,,Torgersen North,Torgersen,2024-13-14,Unwell,PAPRI2022,No,
ADE-0010,Adelie,35.69,,191.1,3443.0,Adult,,Cormorant East,Cormorant,2024-09-09,Healthy,PAPRI2024,Yes,2024-08-26
CHN-0007,Chinstrap,56.44,15.76,200.8,3184.0,Adult,,Cormorant East,Cormorant,2023-11-14,under weight,PAPRI2023,Yes,2023-11-02
,Gentoo,,14.4,226.4,4839.27,Adult,,Torgersen North,Torgersen,2020-12-29,Healthy,PAPRI2020,Yes,2020-12-24
,Chinstrap,46.39,18.85,196.3,3666.0,Adult,Male,Cormorant East,Cormorant,2021-12-25,Overweight,PAPRI20X9,Yes,2021-12-13
,Chinstrap,53.3,19.83,196.1,3841.0,Adult,,Dream South,Dream,2024-06-23,Healthy,PAPRI2024,Yes,2024-06-22
,Chinstrap,46.62,19.86,,3846.0,Adult,Male,Torgersen,Torgersen,2023-02-03,,PAPRI2023,Yes,2023-01-29
CHN-0008,Chinstrap,46.25,21.0,193.7,3778.0,Adult,Male,Biscoe West,Biscoe,2021-03-05,Overweight,PAPRI2021,Yes,2021-02-19
GEN-0012,Gentoo,52.8,,209.4,5367.0,Adult,,Biscoe West,Biscoe,2020-11-07,Healthy,,No,
CHN-0009,Chinstrap,50.05,21.0,214.69,4075.0,Adult,M,Biscoe West,Biscoe,2022-08-04,Overweight,PAPRI2022,Yes,2022-07-29
GEN-0013,Gentto,51.3,13.95,219.7,4035.0,Juvenile,Female,Torgersen North,unknown,2023-07-19,Healthy,,,2023-07-10
CHN-0010,Chinstrap,48.74,17.01,186.9,,Adult,Male,Dream South,Dream,2022-02-27,Healthy,PAPRI2022,Yes,2022-02-22
,Chinstrap,46.31,,192.9,3742.0,Adult,,Dream South,,,Healthy,PAPRI2024,Yes,2024-03-11
,,47.68,17.62,,7000.0,Adult,,Torgersen North,Torgersen,2021-08-17,Healthy,PAPRI2021,,2021-08-14
GEN-0014,Gentoo,48.1,14.08,217.4,5088.0,Adult,Male,Dream South,Dream,2021-02-13,Healthy,PAPRI2021,No,
ADE-0011,Adelie,33.68,20.32,186.0,4333.0,Adult,,dream,Dream,2023-10-11,Overweight,PAPRI2023,Yes,2023-10-08
,Adelie,32.0,19.28,,2500.0,Chick,,Biscoe West,Biscoe,,Underweight,,Yes,2024-01-22
ADE-0012,Adelie,41.19,17.7,186.0,3773.0,Adult,Male,Cormorant East,Cormorant,2024-11-21,Healthy,PAPRI2024,Yes,2024-11-09
CHN-0011,Chinstrap,51.77,18.99,201.7,3901.0,,,Biscoe West,Biscoe,,Overweight,PAPRI2023,Yes,2023-12-14
GEN-0015,Gentoo,49.16,13.95,206.3,4737.0,Adult,Male,Dream South,Dream,2023-12-02,Healthy,PAPRI2023,Yes,2023-11-20
ADE-0013,adeleie,40.28,18.1,188.6,3224.0,Juvenile,,,Cormorant,,N/A,PAPRI2022,Yes,2022-06-18
,Gentoo,46.28,15.11,217.1,4513.0,Juvenile,,Torgersen North,Torgersen,2020-07-10,Healthy,PAPR12021,No,
GEN-0017,Gentoo,,14.43,218.9,4701.0,Adult,Female,Torgersen North,Torgersen,2022-01-29,Overweight,PAPRI2022,No,
GEN-0018,Gentoo,53.24,16.08,206.2,2893.0,unk,,Shortcut Point,,2022-12-23,Underweight,PAPRI2022,Yes,2022-12-18
,Chinstrap,52.62,19.77,200.4,3070.060445692318,Adult,,,Cormorant,2022-02-05,Overweight,PAPRI2022,Yes,2022-01-24
,Gentoo,50.77,14.79,,5423.0,Adult,Female,Cormorant East,Cormorant,2019-11-29,Overweight,PAPRI2019,No,
,Chinstrap,46.08,17.99,198.9,3520.0,Adult,,Biscoe West,,2023-03-28,Healthy,PAPRI2023,Yes,2023-03-19
GEN-0019,Gentoo,46.2,15.04,,3049.0,Chick,Female,Biscoe West,Biscoe,2020-10-07,Overweight,,Yes,2020-09-30
