tag_id,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg
,Gentoo,48.99,14.63,220.9,5890.0,Adult,Male,Torgersen North,Torgersen,2023-11-17,Healthy,PAPRI2023,Yes,2023-11-09
ADE-0001,Adelie,39.55,19.92,186.2,2500.0,Chick,Male,Biscoe West,,2022-07-31,Underweight,PAPRI2022,Yes,2022-07-20
,Gentoo,55.73431295106942,13.0,,4536.0,Adult,Female,Biscoe West,Biscoe,2024-04-14,Healthy,,Yes,2024-04-12
GEN-0001,Gentoo,46.22,13.91,212.8,3150.0,chik,,Dream South,Dream,2020-04-27,Underweight,PAPRI2020,Yes,2020-04-14
,Chinstrap,49.02,16.22,192.2,3120.3893870991956,ADLT,,Biscoe West,Biscoe,2022-10-03,Healthy,PAPRI2022,Yes,2022-10-02
,Gentoo,45.7,17.607998456022322,218.7,,Adult,,Torgersen North,Torgersen,error,Healthy,PAPRI2021,Yes,2021-10-10
,Gentoo,,,221.9,3790.0,Juvenile,Male,,Torgersen,2024-08-09,Healthy,PAPRI2024,Yes,2024-07-30
CHN-0001,Chinstrap,57.97,20.41,197.5,3982.0,Adult,,Torgersen North,Torgersen,2023-09-07,Healthy,PAPRI2023,,
GEN-0003,Gentoo,,14.44,208.1,4476.0,,Female,Torgersen North,Torgersen,,Healthy,PAPRI2021,No,
,Adelie,35.16,17.08,182.7,3740.0,Adult,,Biscoe West,Biscoe,2021-01-12,Healthy,PAPRI2021,Yes,2021-01-06
,Chinstrap,46.57,19.48,203.2,3998.0,Adult,,Torgersen North,Torgersen,2023-10-10,Healthy,PAPRI2023,Yes,2023-10-04
,Gentoo,46.88,,208.0,,Juvenile,Female,Dream South,Dream,,,PAPRI2023,Yes,2023-12-02
,Chinstrap,45.15,,201.7,4134.0,Adult,,Torgersen North,Torgersen,2020-04-04,Healthy,PAPRI2020,No,
,Gentoo,43.01590671712472,14.71,222.8,5898.5099131955,Adult,,Torgersen North,Torgersen,9999-99-99,Healthy,PAPRI2021,Yes,2021-11-19
,Chinstrap,48.68,21.0,177.7,4161.0,Adult,Male,Shortcut Point,Shortcut,2023-07-28,Overweight,,,2023-07-16
GEN-0004,Gentoo,43.24,16.05,222.4,4206.0,Juvenile,Male,Dream South,Dream,2023-10-18,Healthy,,,2023-10-10
ADE-0002,Adelie,42.79,17.62,184.7,2840.0,Juvenile,,Dream South,Dream,,ok,PAPRI2024,No,
CHN-0002,Chinstrap,,20.35,197.8,3801.0,Adult,,Cormorant East,Cormorant,2022-09-21,Overweight,PAPRI2022,,2022-09-14
ADE-0003,Adelie,39.06,,185.4,3602.0,Adult,,Torgersen North,,,Healthy,PAPRI2024,Yes,2024-03-26
GEN-0005,Gentoo,51.32,14.45,201.1,3237.0,Chick,Male,Shortcut Point,Shortcut,,Underweight,PAPRI2024,Yes,2023-12-26
CHN-0003,Chinstrap,47.67,17.22,194.9,3063.0,Juvenile,,Shortcut Point,Shortcut,2023-02-24,Underweight,,Yes,2023-02-16
GEN-0006,Gentoo,44.67,16.48,216.9,4114.0,Adult,Female,Biscoe West,,2022-03-16,Underweight,STUDY_2022,Yes,2022-03-13
ADE-0004,Adelie,38.96,21.0,188.7,2500.0,Chick,,Torgersen North,Torgersen,2023-01-18,Underweight,PAPRI2023,Yes,2023-01-08
ADE-0005,Adelie,39.72,18.39,195.0,3355.0,Adult,,Torgersen North,Torgersen,2020-02-23,Healthy,PAPRI2020,Yes,2020-02-16
,Adelie,40.94,17.04,199.1,3279.0,Adult,,Dream South,Dream,2022-12-24,Healthy,PAPRI2022,Yes,2022-12-12
,Chinstrap,45.89,18.62,192.5,2500.0,Chick,Female,Torgersen North,Torgersen,2022-01-19,critcal ill,PAPRI2022,Yes,2022-01-09
GEN-0007,Gentoo,47.8,14.2,207.7,2866.0,Chick,Female,Shortcut Point,Shortcut,2024-03-27,,,Yes,2024-03-24
GEN-0008,Gentoo,49.11,13.0,220.7,5182.0,Adult,Male,biscoe 2,Dream,2024-08-25,under weight,PAPRI2024,Yes,2024-08-12
,Gentoo,,14.41,221.9,4508.0,Adult,,Torgersen North,Torgersen,2019-10-31,Healthy,PAPRI2019,,
ADE-0006,Adelie,42.48,21.0,187.9,3456.0,Adult,Female,Torgersen North,Torgersen,2024-10-22,Overweight,PAPRI2024,Yes,2024-10-16
CHN-0004,Chinstrap,49.66,19.75,187.3,3114.0,Adult,?,Shortcut Point,Shortcut,,Underweight,PAPRI2020,Yes,2020-08-13
,Gentoo,49.35,16.26,218.4,3364.0,Chick,Male,Biscoe West,Biscoe,2023-01-09,Underweight,PAPRI2023,Yes,2023-01-01
,Adelie,39.59,17.33,202.1,3842.0,Adult,,Torgersen North,Torgersen,2020-02-18,Healthy,N/A,Yes,2020-02-15
,Chinstrap,51.22,16.97,190.7,3505.0,Adult,Male,Torgersen North,Torgersen,2023-03-22,Healthy,PAPRI2023,Yes,2023-03-13
GEN-0009,Gentoo,49.17213882861898,15.3,,,juvenille,?,Dream South,,2021-07-05,Healthy,PAPRI2021,Yes,2021-06-25
GEN-0010,Gentoo,43.39,13.87,222.3,4904.0,Adult,,Torgersen North,,2020-02-26,Unwell,PAPRI2020,Yes,2020-02-23
GEN-0011,Gentoo,47.54,16.54,215.4,,Adult,,Torgersen North,Torgersen,2024-09-04,under weight,PAPRI2024,,2024-08-28
,Gentoo,44.61,15.97,217.3,4945.0,Adult,,,Biscoe,9999-99-99,Healthy,PAPRI2023,Yes,2023-05-24
CHN-0005,Chinstrap,48.06,19.64,199.3,2941.0,Juvenile,,Shortcut Point,Shortcut,2021-03-25,Underweight,PAPRI2021,No,
