tag_id,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg
,Gentoo,48.99,14.63,220.9,5890,Adult,Male,Torgersen North,Torgersen,2023-11-17,Healthy,PAPRI2023,Yes,2023-11-09
ADE-0001,Adelie,39.55,19.92,186.2,2500,Chick,Male,Biscoe West,Biscoe,2022-07-31,Underweight,PAPRI2022,Yes,2022-07-20
,Gentoo,48.23,13.0,206.7,4536,Adult,Female,Biscoe West,Biscoe,2024-04-14,Healthy,PAPRI2024,Yes,2024-04-12
GEN-0001,Gentoo,46.22,13.91,212.8,3150,Juvenile,Female,Dream South,Dream,2020-04-27,Underweight,PAPRI2020,Yes,2020-04-14
,Chinstrap,49.02,16.22,192.2,3735,Adult,,Biscoe West,Biscoe,2022-10-03,Healthy,PAPRI2022,Yes,2022-10-02
,Gentoo,45.7,15.94,218.7,4746,Adult,,Torgersen North,Torgersen,2021-10-10,Healthy,PAPRI2021,Yes,2021-10-10
GEN-0002,Gentoo,47.46,13.53,221.9,3790,Juvenile,Male,Torgersen North,Torgersen,2024-08-09,Healthy,PAPRI2024,Yes,2024-07-30
CHN-0001,Chinstrap,57.97,20.41,197.5,3982,Adult,,Torgersen North,Torgersen,2023-09-07,Healthy,PAPRI2023,No,
GEN-0003,Gentoo,47.15,14.44,208.1,4476,Adult,Female,Torgersen North,Torgersen,2021-04-05,Healthy,PAPRI2021,No,
,Adelie,35.16,17.08,182.7,3740,Adult,,Biscoe West,Biscoe,2021-01-12,Healthy,PAPRI2021,Yes,2021-01-06
,Chinstrap,46.57,19.48,203.2,3998,Adult,,Torgersen North,Torgersen,2023-10-10,Healthy,PAPRI2023,Yes,2023-10-04
,Gentoo,46.88,14.05,208.0,4134,Juvenile,Female,Dream South,Dream,2023-12-08,Healthy,PAPRI2023,Yes,2023-12-02
,Chinstrap,45.15,16.59,201.7,4134,Adult,,Torgersen North,Torgersen,2020-04-04,Healthy,PAPRI2020,No,
,Gentoo,44.39,14.71,222.8,5318,Adult,,Torgersen North,Torgersen,2021-11-27,Healthy,PAPRI2021,Yes,2021-11-19
,Chinstrap,48.68,21.0,177.7,4161,Adult,Male,Shortcut Point,Shortcut,2023-07-28,Overweight,PAPRI2023,Yes,2023-07-16
GEN-0004,Gentoo,43.24,16.05,222.4,4206,Juvenile,Male,Dream South,Dream,2023-10-18,Healthy,PAPRI2023,Yes,2023-10-10
ADE-0002,Adelie,42.79,17.62,184.7,2840,Juvenile,,Dream South,Dream,2024-06-19,Underweight,PAPRI2024,No,
CHN-0002,Chinstrap,50.45,20.35,197.8,3801,Adult,,Cormorant East,Cormorant,2022-09-21,Overweight,PAPRI2022,Yes,2022-09-14
ADE-0003,Adelie,39.06,19.85,185.4,3602,Adult,,Torgersen North,Torgersen,2024-04-09,Healthy,PAPRI2024,Yes,2024-03-26
GEN-0005,Gentoo,51.32,14.45,201.1,3237,Chick,Male,Shortcut Point,Shortcut,2024-01-05,Underweight,PAPRI2024,Yes,2023-12-26
CHN-0003,Chinstrap,47.67,17.22,194.9,3063,Juvenile,,Shortcut Point,Shortcut,2023-02-24,Underweight,PAPRI2023,Yes,2023-02-16
GEN-0006,Gentoo,44.67,16.48,216.9,4114,Adult,Female,Biscoe West,Biscoe,2022-03-16,Underweight,PAPRI2022,Yes,2022-03-13
ADE-0004,Adelie,38.96,21.0,188.7,2500,Chick,,Torgersen North,Torgersen,2023-01-18,Underweight,PAPRI2023,Yes,2023-01-08
ADE-0005,Adelie,39.72,18.39,195.0,3355,Adult,,Torgersen North,Torgersen,2020-02-23,Healthy,PAPRI2020,Yes,2020-02-16
,Adelie,40.94,17.04,199.1,3279,Adult,,Dream South,Dream,2022-12-24,Healthy,PAPRI2022,Yes,2022-12-12
,Chinstrap,45.89,18.62,192.5,2500,Chick,Female,Torgersen North,Torgersen,2022-01-19,Underweight,PAPRI2022,Yes,2022-01-09
GEN-0007,Gentoo,47.8,14.2,207.7,2866,Chick,Female,Shortcut Point,Shortcut,2024-03-27,Underweight,PAPRI2024,Yes,2024-03-24
GEN-0008,Gentoo,49.11,13.7,220.7,5182,Adult,Male,Dream South,Dream,2024-08-25,Healthy,PAPRI2024,Yes,2024-08-12
,Gentoo,45.15,14.41,221.9,4508,Adult,,Torgersen North,Torgersen,2019-10-31,Healthy,PAPRI2019,No,
ADE-0006,Adelie,42.48,21.0,187.9,3456,Adult,Female,Torgersen North,Torgersen,2024-10-22,Overweight,PAPRI2024,Yes,2024-10-16
CHN-0004,Chinstrap,49.66,19.75,187.3,3114,Adult,Female,Shortcut Point,Shortcut,2020-08-13,Underweight,PAPRI2020,Yes,2020-08-13
,Gentoo,49.35,16.26,218.4,3364,Chick,Male,Biscoe West,Biscoe,2023-01-09,Underweight,PAPRI2023,Yes,2023-01-01
,Adelie,39.59,17.33,202.1,3842,Adult,,Torgersen North,Torgersen,2020-02-18,Healthy,PAPRI2020,Yes,2020-02-15
,Chinstrap,51.22,16.97,190.7,3505,Adult,Male,Torgersen North,Torgersen,2023-03-22,Healthy,PAPRI2023,Yes,2023-03-13
GEN-0009,Gentoo,50.39,15.3,221.9,4607,Juvenile,,Dream South,Dream,2021-07-05,Healthy,PAPRI2021,Yes,2021-06-25
